,Chinese,English,Pinyin
0,的,of,de
1,我,I,wǒ
2,你,you,nǐ
3,了,In,le
4,是,Yes,shì
5,在,exist,zài
6,他,he,tā
7,我们,we,wǒmen
8,不,No,bù
9,吗,?,mǎ
10,好,good,hào
11,什么,what,shénme
12,有,have,yǒu
13,就,At once,jiù
14,吧,Bar,ba
15,她,she,tā
16,这,This,zhè
17,知道,knowledge,zhīdào
18,说,Say,shuō
19,都,All,dōu
20,去,go with,qù
21,很,very,hěn
22,啊,what,a
23,要,want,yào
24,也,also,yě
25,他们,them,tāmen
26,和,and,hé
27,那,That,nà
28,想,think,xiǎng
29,人,people,rén
30,会,meeting,huì
31,一个,One,yīgè
32,来,Come,lái
33,把,Bundle,bǎ
34,对,right,duì
35,没有,no,méiyǒu
36,做,Do,zuò
37,不是,no,bùshì
38,让,let,ràng
39,给,give,gěi
40,可以,Can,kěyǐ
41,你们,you,nǐmen
42,呢,Woolen cloth,ní
43,但,but,dàn
44,到,arrive,dào
45,还,Also,hái
46,现在,now,xiànzài
47,这个,this,zhège
48,能,can,néng
49,怎么,how,zěnme
50,就是,that is,jiùshì
51,跟,and,gēn
52,如果,if,rúguǒ
53,没,No,méi
54,它,it,tā
55,走,go,zǒu
56,上,superior,shàng
57,得,have to,de
58,被,quilt,bèi
59,这里,here,zhèlǐ
60,这样,so,zhèyàng
61,个,Piece,ge
62,看,Look,kàn
63,事,thing,shì
64,自己,Own,zìjǐ
65,着,write,zhe
66,谁,Who,shuí
67,过,pass,guò
68,不会,Will not,bùhuì
69,告诉,Tell,gàosu
70,为什么,Why,wèishénme
71,不能,can not,bùnéng
72,真的,real,zhēnde
73,先生,gentlemen,xiānsheng
74,只是,only,zhǐshì
75,不要,do not want,bùyào
76,这是,This is,zhèshì
77,已经,already,yǐjīng
78,再,Again,zài
79,哦,Oh,o
80,需要,need,xūyào
81,因为,because,yīnwèi
82,谢谢,thanks,xièxie
83,像,picture,xiàng
84,这么,so,zhème
85,可能,possible,kěnéng
86,但是,but,dànshì
87,那个,that,nàgè
88,所以,so,suǒyǐ
89,喜欢,like,xǐhuan
90,又,again,yòu
91,叫,Call,jiào
92,快,quick,kuài
93,我要,I want,wǒyào
94,觉得,feel,juéde
95,别,do not,bié
96,听,hear,tīng
97,找,Find,zhǎo
98,里,inside,lǐ
99,还有,and,háiyǒu
100,时候,when,shíhou
101,东西,thing,dōngxi
102,等,Wait,děng
103,死,die,sǐ
104,多,many,duō
105,从,from,cóng
106,我会,I can,wǒhuì
107,一起,Together,yīqǐ
108,应该,should,yīnggāi
109,我們,we,wǒmen
110,这些,These,zhèxiē
111,请,Please,qǐng
112,孩子,child,háizi
113,看到,See,kàndào
114,一下,a bit,yīxià
115,那么,So,nàme
116,为,for,wei
117,嗎,?,mǎ
118,而,and,ér
119,您,you,nín
120,才,talent,cái
121,用,use,yòng
122,还是,still is,háishi
123,嗯,Ok,en
124,问题,problem,wèntí
125,工作,Work,gōngzuò
126,一样,Same,yīyàng
127,呀,Ah,yā
128,开始,Start,kāishǐ
129,吃,eat,chī
130,嘿,Hey,hēi
131,当,when,dāng
132,真,real,zhēn
133,中,middle,zhōng
134,然后,Then,ránhòu
135,看看,have a look,kànkan
136,說,Say,shuō
137,地方,place,dìfāng
138,一定,must,yīdìng
139,将,will,jiàng
140,希望,hope,xīwàng
141,朋友,friend,péngyou
142,今天,today,jīntiān
143,拿,take,ná
144,一,one,yī
145,啦,La,lā
146,事情,matter,shìqing
